id,year,dane_code,ind_1_icbf_children,ind_2_prescholar_children,ind_3_total_children,ind_4_overlaping_services,source_id
333,2015,17174,228,0,228,74.1,117
334,2015,17272,367,0,367,58.5,117
335,2015,17380,3792,0,3792,79.7,117
336,2015,17388,329,0,329,51.1,117
337,2015,17433,1079,0,1079,73.2,117
338,2015,17442,606,0,606,94.7,117
339,2015,17444,821,0,821,50.1,117
340,2015,17446,96,0,96,62.8,117
341,2015,17486,1032,0,1032,81.8,117
342,2015,17495,372,0,372,83.4,117
343,2015,17513,675,0,675,72.1,117
344,2015,17524,987,0,987,58.5,117
345,2015,17541,817,0,817,73.6,117
346,2015,17614,2422,0,2422,57.7,117
347,2015,17616,517,0,517,60.6,117
348,2015,17653,864,0,864,57.6,117
349,2015,17662,1244,0,1244,84.9,117
350,2015,17665,343,0,343,53.5,117
351,2015,17777,1028,0,1028,77.7,117
352,2015,17867,333,0,333,72.1,117
353,2015,17873,1121,0,1121,86.9,117
354,2015,17877,743,0,743,88.0,117
355,2015,76001,2588,0,2588,68.9,117
356,2015,18029,215,0,215,90.5,117
357,2015,18094,282,0,282,92.7,117
358,2015,18150,888,0,888,83.7,117
359,2015,18205,386,0,386,92.7,117
360,2015,18247,497,0,497,95.2,117
361,2015,18256,647,0,647,97.1,117
362,2015,18410,685,0,685,78.0,117
363,2015,18460,339,0,339,77.1,117
364,2015,18479,157,0,157,93.2,117
365,2015,18592,822,0,822,94.4,117
366,2015,18610,464,0,464,83.5,117
367,2015,18753,2068,0,2068,87.9,117
368,2015,18756,653,0,653,76.7,117
369,2015,18785,433,0,433,86.8,117
370,2015,18860,278,0,278,79.9,117
371,2015,13001,17201,0,17201,73.5,117
372,2015,76147,2094,0,2094,77.9,117
373,2015,85010,784,0,784,83.4,117
374,2015,85015,166,0,166,67.6,117
375,2015,85125,484,0,484,56.9,117
376,2015,85136,0,0,0,0.0,117
377,2015,85139,262,0,262,57.7,117
378,2015,85162,884,0,884,67.6,117
379,2015,85225,213,0,213,65.4,117
380,2015,85230,328,0,328,47.7,117
381,2015,85250,1503,0,1503,63.8,117
382,2015,85263,497,0,497,65.3,117
383,2015,85279,48,0,48,85.0,117
384,2015,85300,126,0,126,67.2,117
385,2015,85315,0,0,0,0.0,117
386,2015,85325,188,0,188,31.9,117
387,2015,85400,509,0,509,77.5,117
388,2015,85410,508,0,508,68.1,117
389,2015,85430,620,0,620,35.6,117
390,2015,85440,1326,0,1326,51.2,117
391,2015,19022,499,0,499,45.5,117
392,2015,19050,916,0,916,72.2,117
393,2015,19075,413,0,413,78.2,117
394,2015,19100,1201,0,1201,60.1,117
395,2015,19110,1183,0,1183,58.2,117
396,2015,19130,1712,0,1712,70.2,117
397,2015,19137,2063,0,2063,20.3,117
398,2015,19142,585,0,585,47.8,117
399,2015,19212,141,0,141,43.1,117
400,2015,19256,1215,0,1215,68.7,117
401,2015,19290,154,0,154,73.9,117
402,2015,19300,674,0,674,38.6,117
403,2015,19318,974,0,974,57.1,117
404,2015,19355,1668,0,1668,22.1,117
405,2015,19364,1318,0,1318,25.9,117
406,2015,19392,328,0,328,51.5,117
407,2015,19397,462,0,462,46.4,117
408,2015,19418,361,0,361,23.7,117
409,2015,19450,404,0,404,82.6,117
410,2015,19455,915,0,915,56.1,117
411,2015,19473,2231,0,2231,40.6,117
412,2015,19513,598,0,598,56.0,117
413,2015,19517,2116,0,2116,13.0,117
414,2015,19532,756,0,756,71.9,117
415,2015,19533,982,0,982,37.7,117
416,2015,19548,178,0,178,59.8,117
417,2015,19573,1588,0,1588,59.5,117
418,2015,19585,409,0,409,81.9,117
419,2015,19622,483,0,483,71.1,117
420,2015,19693,344,0,344,37.0,117
421,2015,19701,387,0,387,57.0,117
422,2015,19698,3531,0,3531,61.3,117
423,2015,19743,1814,0,1814,34.0,117
424,2015,19760,633,0,633,28.4,117
425,2015,19780,1,0,1,46.2,117
426,2015,19785,185,0,185,57.4,117
427,2015,19807,800,0,800,70.2,117
428,2015,19809,709,0,709,16.0,117
429,2015,19821,1315,0,1315,11.5,117
430,2015,19824,798,0,798,25.5,117
