id,dane_code,year_of_incident,kidnapping_class,amount,source_id
273,05154,2023,SECUESTRO SIMPLE,1,21
274,54003,2023,SECUESTRO EXTORSIVO,1,21
275,81300,2023,SECUESTRO SIMPLE,1,21
276,81300,2023,SECUESTRO SIMPLE,1,21
277,81300,2023,SECUESTRO SIMPLE,1,21
278,52835,2023,SECUESTRO SIMPLE,1,21
279,52835,2023,SECUESTRO SIMPLE,1,21
280,05380,2023,SECUESTRO EXTORSIVO,1,21
281,25175,2023,SECUESTRO EXTORSIVO,1,21
282,20550,2023,SECUESTRO EXTORSIVO,1,21
283,76001,2023,SECUESTRO SIMPLE,1,21
284,20550,2023,SECUESTRO EXTORSIVO,1,21
285,15183,2023,SECUESTRO EXTORSIVO,1,21
286,81736,2023,SECUESTRO SIMPLE,1,21
287,81736,2023,SECUESTRO SIMPLE,1,21
288,54498,2023,SECUESTRO EXTORSIVO,1,21
289,76606,2023,SECUESTRO EXTORSIVO,1,21
290,05690,2023,SECUESTRO EXTORSIVO,1,21
291,13688,2023,SECUESTRO SIMPLE,1,21
292,13688,2023,SECUESTRO SIMPLE,1,21
293,13688,2023,SECUESTRO SIMPLE,1,21
294,13688,2023,SECUESTRO SIMPLE,1,21
295,13688,2023,SECUESTRO SIMPLE,1,21
296,76520,2023,SECUESTRO EXTORSIVO,1,21
297,76364,2023,SECUESTRO EXTORSIVO,1,21
298,05887,2023,SECUESTRO EXTORSIVO,1,21
299,05890,2023,SECUESTRO SIMPLE,1,21
300,76364,2023,SECUESTRO EXTORSIVO,1,21
301,76364,2023,SECUESTRO EXTORSIVO,1,21
302,54810,2023,SECUESTRO SIMPLE,1,21
303,54810,2023,SECUESTRO SIMPLE,1,21
304,76400,2023,SECUESTRO EXTORSIVO,1,21
305,85250,2023,SECUESTRO SIMPLE,1,21
306,76130,2023,SECUESTRO EXTORSIVO,1,21
307,47001,2023,SECUESTRO EXTORSIVO,1,21
308,19450,2023,SECUESTRO SIMPLE,1,21
309,11001,2023,SECUESTRO EXTORSIVO,1,21
310,20614,2023,SECUESTRO EXTORSIVO,1,21
311,76001,2023,SECUESTRO EXTORSIVO,1,21
312,05591,2023,SECUESTRO EXTORSIVO,1,21
313,19001,2023,SECUESTRO EXTORSIVO,1,21
314,50313,2023,SECUESTRO EXTORSIVO,1,21
315,50313,2023,SECUESTRO EXTORSIVO,1,21
316,54206,2023,SECUESTRO EXTORSIVO,1,21
317,54206,2023,SECUESTRO EXTORSIVO,1,21
318,81736,2023,SECUESTRO SIMPLE,1,21
319,81736,2023,SECUESTRO SIMPLE,1,21
320,20383,2023,SECUESTRO EXTORSIVO,1,21
321,25740,2023,SECUESTRO EXTORSIVO,1,21
322,13001,2023,SECUESTRO EXTORSIVO,1,21
323,13001,2023,SECUESTRO EXTORSIVO,1,21
324,76001,2023,SECUESTRO EXTORSIVO,1,21
325,05615,2023,SECUESTRO SIMPLE,1,21
326,05615,2023,SECUESTRO SIMPLE,1,21
327,81065,2023,SECUESTRO SIMPLE,1,21
328,05212,2023,SECUESTRO EXTORSIVO,1,21
329,05212,2023,SECUESTRO EXTORSIVO,1,21
330,05212,2023,SECUESTRO EXTORSIVO,1,21
331,05212,2023,SECUESTRO EXTORSIVO,1,21
332,05212,2023,SECUESTRO EXTORSIVO,1,21
333,05212,2023,SECUESTRO EXTORSIVO,1,21
334,11001,2023,SECUESTRO SIMPLE,1,21
335,19532,2023,SECUESTRO EXTORSIVO,1,21
336,19532,2023,SECUESTRO EXTORSIVO,1,21
337,50001,2023,SECUESTRO EXTORSIVO,1,21
338,54810,2023,SECUESTRO SIMPLE,1,21
339,54810,2023,SECUESTRO SIMPLE,1,21
340,54680,2023,SECUESTRO EXTORSIVO,1,21
341,54498,2023,SECUESTRO SIMPLE,1,21
342,76001,2023,SECUESTRO EXTORSIVO,1,21
343,20228,2023,SECUESTRO EXTORSIVO,1,21
344,66001,2023,SECUESTRO SIMPLE,1,21
345,54800,2023,SECUESTRO SIMPLE,1,21
346,11001,2023,SECUESTRO EXTORSIVO,1,21
347,11001,2023,SECUESTRO EXTORSIVO,1,21
348,15755,2023,SECUESTRO EXTORSIVO,1,21
349,54001,2023,SECUESTRO EXTORSIVO,1,21
350,05001,2023,SECUESTRO EXTORSIVO,1,21
351,54250,2023,SECUESTRO SIMPLE,1,21
352,54250,2023,SECUESTRO SIMPLE,1,21
353,52835,2023,SECUESTRO EXTORSIVO,1,21
354,27160,2023,SECUESTRO EXTORSIVO,1,21
355,76001,2023,SECUESTRO EXTORSIVO,1,21
356,76520,2023,SECUESTRO EXTORSIVO,1,21
357,11001,2023,SECUESTRO EXTORSIVO,1,21
358,11001,2023,SECUESTRO EXTORSIVO,1,21
359,19001,2023,SECUESTRO EXTORSIVO,1,21
360,25754,2023,SECUESTRO EXTORSIVO,1,21
361,25754,2023,SECUESTRO EXTORSIVO,1,21
362,76834,2023,SECUESTRO EXTORSIVO,1,21
363,27001,2023,SECUESTRO EXTORSIVO,1,21
364,54800,2023,SECUESTRO EXTORSIVO,1,21
365,52540,2023,SECUESTRO SIMPLE,1,21
366,19075,2023,SECUESTRO SIMPLE,1,21
367,52835,2023,SECUESTRO EXTORSIVO,1,21
368,19392,2023,SECUESTRO SIMPLE,1,21
369,76109,2023,SECUESTRO EXTORSIVO,1,21
370,19130,2023,SECUESTRO EXTORSIVO,1,21
371,19130,2023,SECUESTRO EXTORSIVO,1,21
372,19130,2023,SECUESTRO EXTORSIVO,1,21
373,54810,2023,SECUESTRO SIMPLE,1,21
374,05079,2023,SECUESTRO EXTORSIVO,1,21
375,54206,2023,SECUESTRO EXTORSIVO,1,21
376,54206,2023,SECUESTRO EXTORSIVO,1,21
377,85139,2023,SECUESTRO SIMPLE,1,21
378,52001,2023,SECUESTRO SIMPLE,1,21
379,86573,2023,SECUESTRO SIMPLE,1,21
380,05001,2023,SECUESTRO EXTORSIVO,1,21
381,68861,2023,SECUESTRO SIMPLE,1,21
382,54001,2023,SECUESTRO EXTORSIVO,1,21
383,54001,2023,SECUESTRO EXTORSIVO,1,21
384,05001,2023,SECUESTRO EXTORSIVO,1,21
