source_id,source_name,description,import_date,origin,dataset_url,end_point_url,start_date,end_date
38,Datos abiertos de colombia,"Contiene información sobre las lesiones fatales de causa externa ocurridas en el territorio nacional Colombiano en el periodo de tiempo comprendido entre el 01 de enero de 2023 al 31 de julio e 2024, de los cuales tiene conocimiento y son registrados por Instituto Nacional de Medicina Legal y Ciencias Forenses.",2024-09-22,Instituto Nacional de Medicina Legal y Ciencias Forenses,https://www.datos.gov.co/Justicia-y-Derecho/Lesiones-fatales-de-causa-externamin-Informaci-n-p/2kpj-cktv/about_data,https://www.datos.gov.co/resource/2kpj-cktv.csv,2023-01-01,2024-07-31
16,Datos abiertos de colombia,Contiene información del delito de Lesiones personales y Lesiones en accidente de Tránsito desde 01 de enero del año 2010 al 30 de abril del año 2024.,2024-09-14,Policía Nacional de Colombia,https://www.datos.gov.co/Seguridad-y-Defensa/Reporte-Lesiones-Personales-y-en-Accidente-de-Tr-n/72sg-cybi/data_preview,https://www.datos.gov.co/resource/72sg-cybi.csv,2003-01-01,2024-04-30
17,Datos abiertos de colombia,"Contiene información sobre homicidios. Toda muerte (civiles, miembros de la Fuerza Pública y personas pertenecientes a grupos criminales), que fuere causada por otra persona por cualquier tipo de elemento. Se mide en víctimas.",2024-09-14,Ministerio de Defensa Nacional,https://www.datos.gov.co/Seguridad-y-Defensa/HOMICIDIO/m8fd-ahd9/about_data,https://www.datos.gov.co/resource/m8fd-ahd9.csv,2003-01-01,2024-04-30
18,Datos abiertos de colombia,"Contiene información sobre aquellos hechos en los cuales resultan muertos cuatro (4) o más personas en estado de indefensión en el mismo lugar, a la misma hora y por los mismos autores.",2024-09-14,Ministerio de Defensa Nacional,https://www.datos.gov.co/Seguridad-y-Defensa/HOMICIDIO-COLECTIVO-V-CTIMAS/3vft-pewx/about_data,https://www.datos.gov.co/resource/3vft-pewx.csv,2003-01-01,2023-12-31
19,Datos abiertos de colombia,"Contiene información sobre los homicidios y lesiones que reporta la Fuerza Pública (Ejército Nacional, Armada Nacional, Fuerza Aérea y Policía Nacional) en cumplimiento de su deber constitucional o actos de servicio excluyendo vacaciones, permisos y licencias.",2024-09-14,Ministerio de Defensa Nacional,https://www.datos.gov.co/Seguridad-y-Defensa/AFECTACI-N-DE-MIEMBROS-DE-LA-FUERZA-P-BLICA/8rpn-wpty/about_data,https://www.datos.gov.co/resource/8rpn-wpty.csv,2021-01-01,2024-04-30
20,Datos abiertos de colombia,"Contiene información sobre la modalidad de hurto donde el victimario utiliza diferentes medios con el fin de apoderarse de los elementos de valor que lleva consigo una persona, se mide en víctimas.",2024-09-14,Ministerio de Defensa Nacional,https://www.datos.gov.co/Seguridad-y-Defensa/HURTO-PERSONAS/4rxi-8m8d/about_data,https://www.datos.gov.co/resource/4rxi-8m8d.csv,2003-01-01,2024-04-30
21,Datos abiertos de colombia,Contiene información sobre el total del número de casos y la relación de víctimas de secuestro simple y de secuestro extorsivo.,2024-09-14,Ministerio de Defensa Nacional,https://www.datos.gov.co/Seguridad-y-Defensa/SECUESTRO/d7zw-hpf4/about_data,https://www.datos.gov.co/resource/d7zw-hpf4.csv,1996-01-01,2024-04-30
22,Datos abiertos de colombia,"Contiene información sobre los delitos contra los recursos naturales y el medio ambiente descritos en el Código Penal Colombiano, artículos 328 al 339. Los delitos corresponden a la modificación de la Ley 2111 de 2021. Se mide en casos.",2024-09-14,Ministerio de Defensa Nacional,https://www.datos.gov.co/Seguridad-y-Defensa/DELITOS-CONTRA-EL-MEDIO-AMBIENTE/9zck-qfvc/data_preview,https://www.datos.gov.co/resource/9zck-qfvc.csv,2003-01-01,2024-04-30
23,Datos abiertos de colombia,"Contiene información sobre el casos de extorsión que, según el art. 244 del Código Penal Colombiano, Ley 599 de 2000, se define como “el que constriña a otro a hacer, tolerar u omitir alguna cosa, con el propósito de obtener provecho ilícito o cualquier utilidad ilícita o beneficio ilícito, para sí o para un tercero”. Se mide en víctimas.",2024-09-19,Ministerio de Defensa Nacional,https://www.datos.gov.co/Seguridad-y-Defensa/EXTORSION/q2ib-t9am/about_data,https://www.datos.gov.co/resource/q2ib-t9am.csv,1996-01-01,2024-04-30
24,Datos abiertos de colombia,Contiene información sobre la cantidad de capturas realizadas por las conductas delictivas cometidas contra los recursos naturales y el medio ambiente. Esta acción la puede realizar los miembros de las Fuerzas Militares y de la Policía Nacional dejando a disposición de la autoridad competente. La unidad de medida corresponde a personas capturadas.,2024-09-19,Ministerio de Defensa Nacional,https://www.datos.gov.co/Seguridad-y-Defensa/CAPTURAS-POR-MINER-A-ILEGAL/3wcs-8xp9/about_data,https://www.datos.gov.co/resource/3wcs-8xp9.csv,2010-01-01,2024-04-30
