id,dane_code,year_of_incident,amount,source_id
692,17272,2022,1,24
693,17272,2022,1,24
694,17272,2022,1,24
695,17272,2022,1,24
696,05197,2022,1,24
697,05197,2022,1,24
698,05197,2022,1,24
699,05197,2022,1,24
700,20001,2022,1,24
701,25320,2022,1,24
702,25320,2022,1,24
703,25320,2022,1,24
704,25320,2022,1,24
705,47980,2022,1,24
706,47980,2022,1,24
707,47980,2022,1,24
708,44001,2022,1,24
709,44001,2022,1,24
710,44001,2022,1,24
711,52683,2022,1,24
712,52683,2022,1,24
713,68684,2022,1,24
714,15690,2022,1,24
715,15690,2022,1,24
716,15690,2022,1,24
717,15690,2022,1,24
718,91669,2022,1,24
719,91669,2022,1,24
720,91669,2022,1,24
721,91669,2022,1,24
722,91669,2022,1,24
723,91669,2022,1,24
724,05690,2022,1,24
725,05690,2022,1,24
726,25483,2022,1,24
727,25483,2022,1,24
728,25483,2022,1,24
729,08141,2022,1,24
730,08141,2022,1,24
731,08141,2022,1,24
732,08141,2022,1,24
733,08141,2022,1,24
734,08141,2022,1,24
735,08141,2022,1,24
736,08141,2022,1,24
737,08141,2022,1,24
738,66440,2022,1,24
739,66440,2022,1,24
740,68385,2022,1,24
741,68385,2022,1,24
742,68385,2022,1,24
743,08372,2022,1,24
744,08372,2022,1,24
745,08372,2022,1,24
746,27160,2022,1,24
747,27160,2022,1,24
748,20178,2022,1,24
749,20178,2022,1,24
750,08372,2022,1,24
751,70473,2022,1,24
752,68684,2022,1,24
753,68684,2022,1,24
754,68684,2022,2,24
755,52352,2022,1,24
756,52352,2022,1,24
757,52352,2022,1,24
758,70473,2022,1,24
759,68001,2022,1,24
760,68001,2022,1,24
761,05055,2022,1,24
762,05055,2022,1,24
763,05055,2022,1,24
764,05055,2022,1,24
765,05055,2022,1,24
766,86885,2022,1,24
767,86885,2022,1,24
768,18610,2022,1,24
769,18610,2022,1,24
770,18610,2022,1,24
771,18610,2022,1,24
772,18610,2022,1,24
773,18610,2022,1,24
774,18610,2022,1,24
775,18610,2022,1,24
776,13430,2022,1,24
777,13430,2022,1,24
778,13430,2022,2,24
779,13430,2022,1,24
780,13430,2022,1,24
781,13430,2022,1,24
782,13430,2022,1,24
783,13430,2022,1,24
784,70233,2022,1,24
785,70233,2022,1,24
786,70233,2022,1,24
787,70233,2022,1,24
788,70233,2022,1,24
789,70233,2022,1,24
790,47555,2022,1,24
791,47555,2022,1,24
792,41770,2022,1,24
793,54001,2022,1,24
794,54001,2022,1,24
795,54001,2022,1,24
796,54001,2022,1,24
797,54001,2022,1,24
798,54001,2022,1,24
799,54001,2022,1,24
800,54001,2022,1,24
801,08296,2022,1,24
802,08296,2022,1,24
803,08296,2022,1,24
804,08296,2022,1,24
805,15542,2022,1,24
806,17513,2022,1,24
807,17513,2022,1,24
808,17513,2022,1,24
809,17513,2022,1,24
810,17513,2022,1,24
811,17513,2022,1,24
812,17513,2022,1,24
813,17513,2022,1,24
814,25224,2022,1,24
815,25224,2022,1,24
816,25224,2022,1,24
817,25224,2022,1,24
818,25224,2022,1,24
819,25224,2022,1,24
820,05690,2022,1,24
821,05690,2022,1,24
822,05690,2022,1,24
823,05690,2022,1,24
824,05690,2022,1,24
825,54660,2022,1,24
826,54660,2022,1,24
827,54660,2022,1,24
828,54660,2022,1,24
829,54660,2022,1,24
830,17013,2022,1,24
831,17013,2022,1,24
832,68684,2022,1,24
833,68684,2022,1,24
834,68684,2022,1,24
835,68684,2022,1,24
836,23168,2022,1,24
837,23168,2022,1,24
838,41524,2022,1,24
839,41524,2022,1,24
840,41524,2022,1,24
841,41524,2022,1,24
842,41524,2022,1,24
843,41524,2022,1,24
844,41524,2022,1,24
845,41524,2022,1,24
846,41524,2022,1,24
847,41524,2022,1,24
848,41524,2022,1,24
849,41524,2022,1,24
850,25407,2022,1,24
851,25407,2022,1,24
852,25407,2022,1,24
853,25407,2022,1,24
854,13006,2022,1,24
855,66682,2022,1,24
856,66682,2022,1,24
857,66682,2022,1,24
858,66682,2022,2,24
859,66682,2022,1,24
860,66682,2022,2,24
861,66682,2022,1,24
862,66682,2022,1,24
863,05690,2022,1,24
864,05690,2022,1,24
865,05690,2022,1,24
866,05690,2022,1,24
867,05690,2022,1,24
868,05690,2022,1,24
869,19807,2022,2,24
870,73861,2022,1,24
871,73861,2022,1,24
872,73861,2022,1,24
873,05308,2022,2,24
874,05308,2022,1,24
875,05308,2022,1,24
876,05604,2022,1,24
877,05604,2022,1,24
878,05604,2022,1,24
879,05197,2022,1,24
880,05197,2022,1,24
881,05197,2022,1,24
882,05197,2022,1,24
883,05197,2022,1,24
884,05197,2022,1,24
885,19698,2022,1,24
886,19698,2022,1,24
887,19698,2022,1,24
888,52356,2022,1,24
889,52356,2022,1,24
890,52356,2022,1,24
891,52356,2022,1,24
892,52356,2022,1,24
893,05604,2022,1,24
894,05604,2022,1,24
895,15516,2022,2,24
896,15516,2022,1,24
897,15516,2022,1,24
898,15516,2022,2,24
899,15516,2022,2,24
900,15516,2022,1,24
901,17867,2022,1,24
902,17867,2022,1,24
903,25754,2022,1,24
904,25754,2022,1,24
905,25754,2022,1,24
906,25754,2022,1,24
907,25754,2022,1,24
908,25754,2022,1,24
909,25754,2022,1,24
910,25754,2022,1,24
911,25754,2022,1,24
912,25754,2022,1,24
913,25754,2022,1,24
914,68001,2022,1,24
915,68001,2022,1,24
916,68001,2022,1,24
917,68001,2022,1,24
918,76001,2022,1,24
919,05154,2022,1,24
920,05154,2022,1,24
921,05154,2022,2,24
922,05154,2022,1,24
923,05154,2022,1,24
924,05237,2022,1,24
925,05237,2022,1,24
