id,codigodane,numerodesolicitantes,source_id
376,15681,13,119
377,15690,1,119
378,15690,1,119
379,15696,1,119
380,15753,1,119
381,15755,33,119
382,15755,18,119
383,15759,3,119
384,15759,1,119
385,15763,5,119
386,15774,4,119
387,15810,1,119
388,15816,1,119
389,15822,1,119
390,15001,2,119
391,15832,1,119
392,15835,1,119
393,15837,1,119
394,15839,1,119
395,15842,1,119
396,15842,2,119
397,15407,3,119
398,15879,1,119
399,15897,3,119
400,17013,32,119
401,17013,25,119
402,17013,1,119
403,17042,40,119
404,17042,35,119
405,17042,1,119
406,17088,10,119
407,17088,1,119
408,17174,2,119
409,17174,3,119
410,17272,16,119
411,17272,5,119
412,17380,24,119
413,17380,37,119
414,17388,8,119
415,17388,6,119
416,17001,21,119
417,17433,13,119
418,17442,5,119
419,17442,2,119
420,17442,3,119
421,17444,16,119
422,17444,12,119
423,17446,18,119
424,17446,8,119
425,17486,4,119
426,17486,6,119
427,17495,28,119
428,17495,18,119
429,17513,21,119
430,17524,2,119
431,17524,2,119
432,17614,26,119
433,17616,7,119
434,17616,8,119
435,17653,50,119
436,17653,27,119
437,17665,5,119
438,17777,10,119
439,17777,1,119
440,17777,12,119
441,17777,1,119
442,17867,30,119
443,17867,24,119
444,17873,14,119
445,17873,5,119
446,18205,144,119
447,18247,87,119
448,18256,64,119
449,18001,5,119
450,18460,77,119
451,18479,53,119
452,18753,1,119
453,18785,61,119
454,18860,4,119
455,85015,18,119
456,85015,4,119
457,85136,2,119
458,85136,5,119
459,85139,72,119
460,85162,37,119
461,85225,44,119
462,85263,60,119
463,85279,10,119
464,85279,6,119
465,85300,16,119
466,85315,13,119
467,85315,8,119
468,85325,31,119
469,85325,47,119
470,85400,26,119
471,85400,18,119
472,85410,52,119
473,85001,1,119
474,19022,44,119
475,19050,0,119
476,19130,3,119
477,19137,42,119
478,19142,40,119
479,19142,30,119
480,19212,56,119
481,19256,2,119
482,19290,7,119
483,19290,7,119
484,19364,12,119
485,19364,9,119
486,19397,1,119
487,19418,68,119
488,19418,61,119
489,19455,37,119
490,19455,33,119
491,19513,5,119
492,19513,3,119
493,19532,1,119
494,19533,2,119
495,19548,37,119
496,19548,18,119
497,19573,21,119
498,19573,10,119
499,19622,77,119
500,19698,115,119
501,19698,1,119
502,19743,97,119
503,19743,49,119
504,19760,18,119
505,19760,27,119
506,19780,1,119
507,19785,32,119
508,19807,120,119
509,19807,1,119
510,19809,50,119
511,19821,20,119
512,19824,19,119
513,19824,68,119
514,19845,5,119
515,19845,3,119
516,20011,142,119
517,20013,3,119
518,20060,37,119
519,20060,1,119
520,20175,69,119
521,20178,79,119
522,20228,1,119
523,20250,58,119
524,20250,40,119
525,20295,22,119
526,20295,21,119
527,20310,3,119
528,20621,2,119
529,20517,213,119
530,20550,1,119
531,20614,109,119
532,20614,57,119
533,20710,188,119
534,20750,183,119
535,20750,126,119
536,20750,1,119
537,20787,47,119
538,20001,6,119
539,27006,1,119
540,27025,19,119
541,27050,6,119
542,27050,5,119
543,27073,36,119
544,27075,25,119
545,27075,12,119
546,27077,9,119
547,27077,9,119
548,27160,7,119
549,27160,7,119
550,27205,11,119
551,27205,15,119
552,27135,2,119
553,27135,5,119
554,27245,113,119
555,27245,63,119
556,27250,16,119
557,27250,11,119
558,27361,17,119
559,27361,37,119
560,27372,22,119
561,27372,33,119
562,27413,6,119
563,27413,15,119
564,27425,20,119
565,27430,11,119
566,27430,32,119
567,27450,7,119
568,27450,17,119
569,27491,27,119
570,27495,12,119
571,27495,7,119
572,27001,85,119
573,27001,81,119
574,27580,24,119
575,27580,41,119
576,27580,2,119
577,27600,10,119
578,27600,8,119
579,27615,1,119
580,27660,65,119
581,27660,1,119
582,27745,9,119
583,27745,10,119
584,27787,95,119
585,27787,115,119
586,27787,2,119
587,27800,125,119
588,27800,103,119
589,27810,10,119
590,27810,1,119
591,23079,16,119
592,23162,2,119
593,23168,4,119
594,23168,4,119
595,23182,6,119
596,23182,11,119
597,23189,7,119
598,23189,2,119
599,23300,3,119
600,23300,0,119
601,23350,7,119
602,23417,14,119
603,23464,1,119
604,23500,8,119
605,23500,8,119
606,23555,33,119
607,23586,3,119
608,23660,3,119
609,23660,3,119
610,23670,2,119
611,23670,3,119
612,23670,0,119
613,23672,3,119
614,23675,13,119
615,23675,4,119
616,23678,2,119
617,23686,4,119
618,23686,1,119
619,23815,1,119
620,25001,5,119
621,25019,3,119
622,25019,10,119
623,25035,1,119
624,25035,5,119
625,25040,5,119
626,25040,2,119
627,25599,5,119
628,25599,5,119
629,25053,40,119
630,25053,18,119
631,25086,3,119
632,25086,3,119
633,25086,2,119
634,25095,8,119
635,25095,2,119
636,25120,13,119
637,25120,19,119
638,25123,2,119
639,25126,1,119
640,25126,2,119
641,25148,39,119
642,25148,36,119
643,25151,5,119
644,25151,2,119
645,25154,1,119
646,25168,33,119
647,25168,21,119
648,25175,6,119
649,25175,2,119
650,25178,7,119
651,25178,1,119
652,25181,2,119
653,25181,2,119
