id,dane_code,year,species,total,source_id
596,13654,2019,BUFALOS,449,121
597,13655,2019,CAPRINOS,7,121
598,13655,2019,EQUINOS,759,121
599,13655,2019,OVINOS,15,121
600,13655,2019,BUFALOS,1170,121
601,13657,2019,CAPRINOS,92,121
602,13657,2019,EQUINOS,3101,121
603,13657,2019,OVINOS,2635,121
604,13657,2019,BUFALOS,440,121
605,13667,2019,CAPRINOS,20,121
606,13667,2019,EQUINOS,786,121
607,13667,2019,OVINOS,693,121
608,13670,2019,CAPRINOS,55,121
609,13670,2019,EQUINOS,1000,121
610,13670,2019,OVINOS,1000,121
611,13670,2019,BUFALOS,1250,121
612,13673,2019,CAPRINOS,16,121
613,13673,2019,EQUINOS,702,121
614,13673,2019,OVINOS,753,121
615,13673,2019,BUFALOS,8,121
616,13683,2019,CAPRINOS,13,121
617,13683,2019,EQUINOS,906,121
618,13683,2019,OVINOS,571,121
619,13683,2019,BUFALOS,18,121
620,13688,2019,CAPRINOS,60,121
621,13688,2019,EQUINOS,1436,121
622,13688,2019,OVINOS,500,121
623,13688,2019,BUFALOS,140,121
624,13744,2019,CAPRINOS,360,121
625,13744,2019,EQUINOS,1616,121
626,13744,2019,OVINOS,1200,121
627,13744,2019,BUFALOS,745,121
628,13760,2019,CAPRINOS,28,121
629,13760,2019,EQUINOS,376,121
630,13760,2019,OVINOS,38,121
631,13760,2019,BUFALOS,40,121
632,13780,2019,CAPRINOS,91,121
633,13780,2019,EQUINOS,544,121
634,13780,2019,OVINOS,436,121
635,13780,2019,BUFALOS,92,121
636,13810,2019,CAPRINOS,11,121
637,13810,2019,EQUINOS,702,121
638,13810,2019,OVINOS,214,121
639,13836,2019,CAPRINOS,4,121
640,13836,2019,EQUINOS,857,121
641,13836,2019,OVINOS,411,121
642,13836,2019,BUFALOS,59,121
643,13838,2019,CAPRINOS,35,121
644,13838,2019,EQUINOS,738,121
645,13838,2019,OVINOS,62,121
646,13838,2019,BUFALOS,170,121
647,13873,2019,CAPRINOS,10,121
648,13873,2019,EQUINOS,749,121
649,13873,2019,OVINOS,249,121
650,13894,2019,CAPRINOS,66,121
