id,dane_code,area,year_of_incident,amount,source_id
602,05154,0,2022,1,25
603,23162,1,2022,1,25
604,20178,0,2022,1,25
605,70215,1,2022,1,25
606,23300,0,2022,1,25
607,70221,1,2022,1,25
608,05234,0,2022,1,25
609,05234,1,2022,1,25
610,05234,0,2022,1,25
611,05234,0,2022,1,25
612,05234,0,2022,1,25
613,05237,0,2022,1,25
614,05250,1,2022,1,25
615,13244,0,2022,1,25
616,13244,0,2022,1,25
617,20238,1,2022,1,25
618,20238,0,2022,1,25
619,47258,1,2022,1,25
620,47288,0,2022,1,25
621,70265,0,2022,1,25
622,13300,0,2022,1,25
623,23350,0,2022,1,25
624,05425,1,2022,1,25
625,13430,1,2022,1,25
626,70429,0,2022,1,25
627,70429,0,2022,1,25
628,70429,0,2022,1,25
629,70429,0,2022,1,25
630,13442,0,2022,1,25
631,13442,0,2022,1,25
632,23464,0,2022,1,25
633,23466,1,2022,1,25
634,23001,1,2022,1,25
635,70523,0,2022,1,25
636,05543,1,2022,1,25
637,23555,0,2022,1,25
638,05604,0,2022,1,25
639,23682,0,2022,1,25
640,70742,0,2022,1,25
641,70742,0,2022,1,25
642,70713,0,2022,1,25
643,05670,0,2022,1,25
644,05042,1,2022,1,25
645,05042,0,2022,1,25
646,70820,0,2022,1,25
647,05736,0,2022,1,25
648,70001,0,2022,1,25
649,70001,1,2022,1,25
650,70823,0,2022,1,25
651,70823,0,2022,1,25
652,05837,1,2022,1,25
653,05837,1,2022,1,25
654,05837,1,2022,1,25
655,05854,0,2022,1,25
656,05854,1,2022,1,25
657,05858,0,2022,1,25
658,05858,0,2022,1,25
659,05858,0,2022,1,25
660,05858,1,2022,1,25
661,05858,1,2022,1,25
662,05885,0,2022,1,25
663,05890,0,2022,1,25
664,05895,0,2022,1,25
665,05895,0,2022,1,25
666,05895,0,2022,1,25
667,76001,1,2022,1,25
668,70215,0,2022,1,25
669,70473,1,2022,1,25
670,47551,0,2022,1,25
671,70742,0,2022,1,25
672,54810,0,2022,1,25
673,05854,1,2022,1,25
674,05040,1,2022,1,25
675,81001,1,2022,1,25
676,19050,1,2022,1,25
677,05837,1,2022,1,25
678,52227,1,2022,1,25
679,05837,0,2022,1,25
680,54498,0,2022,1,25
681,85001,0,2022,1,25
682,27025,0,2022,1,25
683,05038,1,2022,1,25
684,54810,0,2022,1,25
685,19050,0,2022,1,25
686,05284,0,2022,1,25
687,54206,0,2022,1,25
688,54810,0,2022,1,25
689,05040,0,2022,1,25
690,50400,0,2022,1,25
691,52435,0,2022,1,25
692,54172,1,2022,1,25
693,05656,0,2022,1,25
694,54810,0,2022,1,25
